date,weather_code,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum
2023-11-11 23:00:00,81.0,8.5695,1.1195,13.900001,0.0
2023-11-12 23:00:00,80.0,14.2695,7.8195,17.300001,0.0
2023-11-13 23:00:00,80.0,12.9695,9.314,28.4,0.0
2023-11-14 23:00:00,80.0,9.064,4.914,0.8,0.0
2023-11-15 23:00:00,63.0,7.4639997,3.714,14.1,0.0
2023-11-16 23:00:00,85.0,6.7139997,3.0175002,15.5,0.07
2023-11-17 23:00:00,85.0,7.4175,2.9175,1.0,0.98
